x,y,label
215.0,14.0,True
203.5,13.5,False
198.5,28.5,False
193.5,46.5,False
188.5,64.5,False
183.5,79.5,False
178.5,88.5,False
173.5,88.5,False
168.5,76.5,False
163.5,60.5,False
158.5,44.5,False
153.5,28.5,False
148.5,12.5,False
146.0,0.5,False
145.0,-10.0,False
140.0,-26.0,True
128.5,-26.5,False
123.5,-11.5,False
118.5,6.5,False
113.5,24.5,False
108.5,39.5,False
103.5,48.5,False
98.5,48.5,False
93.5,36.5,False
88.5,20.5,False
83.5,4.5,False
78.5,-11.5,False
80.0,-18.0,True
68.5,-18.5,False
63.5,-3.5,False
58.5,14.5,False
53.5,32.5,False
48.5,47.5,False
43.5,56.5,False
38.5,56.5,False
33.5,44.5,False
28.5,28.5,False
23.5,12.5,False
18.5,-3.5,False
13.5,-19.5,False
15.0,-26.0,True
3.5,-26.5,False
-1.5,-11.5,False
-6.5,6.5,False
-11.5,24.5,False
-16.5,39.5,False
-21.5,48.5,False
-26.5,48.5,False
-31.5,36.5,False
-36.5,20.5,False
-41.5,4.5,False
-46.5,-11.5,False
-45.0,-18.0,True
-56.5,-18.5,False
-61.5,-3.5,False
-66.5,14.5,False
-71.5,32.5,False
-76.5,47.5,False
-81.5,56.5,False
418.5,-89.5,False
413.5,-101.5,False
408.5,-117.5,False
403.5,-133.5,False
405.0,-140.0,True
393.5,-140.5,False
388.5,-125.5,False
383.5,-107.5,False
378.5,-89.5,False
373.5,-74.5,False
368.5,-65.5,False
363.5,-65.5,False
358.5,-77.5,False
353.5,-93.5,False
348.5,-109.5,False
343.5,-125.5,False
345.0,-132.0,True
333.5,-132.5,False
328.5,-117.5,False
323.5,-99.5,False
318.5,-81.5,False
313.5,-66.5,False
308.5,-57.5,False
303.5,-57.5,False
298.5,-69.5,False
293.5,-85.5,False
288.5,-101.5,False
283.5,-117.5,False
278.5,-133.5,False
280.0,-140.0,True
268.5,-140.5,False
263.5,-125.5,False
258.5,-107.5,False
253.5,-89.5,False
248.5,-74.5,False
250.0,-56.0,True
238.5,-56.5,False
233.5,-41.5,False
228.5,-23.5,False
223.5,-5.5,False
225.0,19.0,True
213.5,18.5,False
208.5,33.5,False
203.5,51.5,False
198.5,69.5,False
193.5,84.5,False
188.5,93.5,False
183.5,93.5,False
178.5,81.5,False
173.5,65.5,False
168.5,49.5,False
163.5,33.5,False
158.5,17.5,False
156.0,5.5,False
155.0,-5.0,False
150.0,-21.0,True
138.5,-21.5,False
133.5,-6.5,False
128.5,11.5,False
123.5,29.5,False
118.5,44.5,False
113.5,53.5,False
108.5,53.5,False
103.5,41.5,False
98.5,25.5,False
93.5,9.5,False
88.5,-6.5,False
83.5,-22.5,False
81.0,-34.5,False
80.0,-45.0,True
68.5,-45.5,False
63.5,-30.5,False
58.5,-12.5,False
53.5,5.5,False
48.5,20.5,False
43.5,29.5,False
38.5,29.5,False
33.5,17.5,False
28.5,1.5,False
23.5,-14.5,False
18.5,-30.5,False
13.5,-46.5,False
15.0,-53.0,True
3.5,-53.5,False
-1.5,-38.5,False
-6.5,-20.5,False
-11.5,-2.5,False
-16.5,12.5,False
-21.5,21.5,False
-26.5,21.5,False
-31.5,9.5,False
-36.5,-6.5,False
-41.5,-22.5,False
-46.5,-38.5,False
-45.0,-45.0,True
-56.5,-45.5,False
-61.5,-30.5,False
-66.5,-12.5,False
-71.5,5.5,False
-76.5,20.5,False
-81.5,29.5,False
418.5,169.5,False
413.5,157.5,False
408.5,141.5,False
403.5,125.5,False
405.0,119.0,True
393.5,118.5,False
388.5,133.5,False
383.5,151.5,False
378.5,169.5,False
373.5,184.5,False
368.5,193.5,False
363.5,193.5,False
358.5,181.5,False
353.5,165.5,False
348.5,149.5,False
343.5,133.5,False
338.5,117.5,False
340.0,111.0,True
328.5,110.5,False
323.5,125.5,False
318.5,143.5,False
313.5,161.5,False
308.5,176.5,False
303.5,185.5,False
298.5,185.5,False
293.5,173.5,False
288.5,157.5,False
283.5,141.5,False
278.5,125.5,False
280.0,119.0,True
268.5,118.5,False
263.5,133.5,False
258.5,151.5,False
253.5,169.5,False
248.5,184.5,False
243.5,193.5,False
238.5,193.5,False
233.5,181.5,False
228.5,165.5,False
223.5,149.5,False
218.5,133.5,False
213.5,117.5,False
211.0,105.5,False
210.0,95.0,False
201.0,73.5,False
193.5,53.5,False
188.5,35.5,False
185.5,19.5,False
184.5,6.0,False
185.0,-6.0,False
175.0,-17.0,True
163.5,-17.5,False
158.5,-2.5,False
153.5,15.5,False
148.5,33.5,False
143.5,48.5,False
138.5,57.5,False
133.5,57.5,False
128.5,45.5,False
123.5,29.5,False
118.5,13.5,False
113.5,-2.5,False
108.5,-18.5,False
110.0,-25.0,True
98.5,-25.5,False
93.5,-10.5,False
88.5,7.5,False
83.5,25.5,False
78.5,40.5,False
73.5,49.5,False
68.5,49.5,False
63.5,37.5,False
58.5,21.5,False
53.5,5.5,False
48.5,-10.5,False
43.5,-26.5,False
45.0,-33.0,True
33.5,-33.5,False
28.5,-18.5,False
23.5,-0.5,False
18.5,17.5,False
13.5,32.5,False
8.5,41.5,False
3.5,41.5,False
-1.5,29.5,False
-6.5,13.5,False
-11.5,-2.5,False
